meeting_no,meeting_date,monitoring_index,monitoring_comment
1,2020-07-09,1,〇厚生労働省の「新たな患者推計を踏まえた医療提供体制の再構築」における、感染拡大防止のための社会への協力要請(自粛要請等)が必要であるとされている、患者数が人口十万人あたり2.5人/週(東京都で換算すると50人)を大きく超えている。〇年齢構成は、20代30代が7割を占めるが、先週に比べ40代50代における増加が見られている。その感染経路は接待を伴う飲食店等だけでなく、同居、職場、会食等、多岐に渡っている。今後は同居、会食等を介した高齢者層への感染拡大にも注意が必要。〇新規陽性者数の多い地域だけでなく、隣接の地域でも感染者が増加し始めている。〇介護老人保健施設で施設内感染が発生している。高齢者施設での感染防止対策が必要。〇幼稚園、保育園で職員を発端とした施設内感染が発生している。
1,2020-07-09,2,〇第一波(3月から緊急事態宣言解除まで)では、患者の急速な増加の前に#7119の相談件数が増加した。〇今週は、#7119の7日間平均の増加比が、1を超えている。〇この増加は、流行の範囲の広がりの影響を受けている可能性がある。
1,2020-07-09,3,〇接触歴等不明者数は7日間平均で40名を超えている。〇接触歴等不明者の増加比は、横這いではあるものの、2週連続で依然として100%を大きく超えている。〇7月8日時点の新規陽性者における接触歴等不明者の増加比は161.9%であり、4週間継続すると接触歴等不明の新規陽性者が約6.8倍(270人/日)程度発生する。さらに4週継続すると接触歴等不明の新規陽性者数は、現在の約47倍になる。
1,2020-07-09,4,〇検査の陽性率は、2週連続で増加している。検査数も前週に比べて増加している。〇PCR検査の陽性率は、検査体制の指標としてモニタリングしている。陽性率の上昇は、検査数が減少したためではなく、検査スポット等における積極的疫学調査による新規陽性者数の増加、および接触歴等不明の患者の増加の影響を受けていると思われる。〇陽性率の増加を踏まえると、検査体制の強化が求められる。
1,2020-07-09,5,〇東京ルールの適用件数は2週連続で大きな変動は無い。〇第一波(3月から緊急事態宣言解除まで)では、患者の急速な増加に伴い、東京ルールの適用件数が増加したため、今後の推移を注視すべきである。
1,2020-07-09,6,"〇入院患者数は、2週連続で増加しており、今後患者数が増加する見込みであることを踏まえて、レベル2(3,000床)の病床確保が必要である。稼働できる病床の準備には、人員確保を含め2週間程度かかることから、直ちに着手が必要である。〇現状では、無症状の陽性者が15%程度を占めている。これらの陽性者に対応するために、継続的な宿泊療養施設の確保が必要である。"
1,2020-07-09,7,〇重症者の数は横ばいで推移しているが、80代の中等症患者等、重症化リスクの高い年齢層の患者の入院が増え始めている。〇特に重症患者の増加は、新型コロナウイルス感染症患者のための医療だけでなく、通常の医療体制を圧迫することとなる。〇以上を踏まえて、重症患者への対応の強化を準備する必要がある。
2,2020-07-15,1,〇新規陽性者数は先週の約1.5倍に増加し、緊急事態宣言下での最大値に達している。厚生労働省の「新たな患者推計を踏まえた医療提供体制の再構築」における、感染拡大防止のための社会への協力要請(自粛要請等)が必要であるとされている、患者数が人口十万人あたり2.5人/週(東京都で換算すると50人)の3倍を超えている。〇第一波(3月から緊急事態宣言解除まで)では、年齢構成別は10歳未満1.3%、10代1.6%、20代17.8%、30代17.8%、40代15.9%、50代15.5%、60代10.4%、70代9.6%、80代6.7%、90代3.4%、100歳以上0.1%であった。〇7月12日の報告では、10歳未満6.8%、10代3.4%、20代42.2%、30代22.3%、40代9.7%、50代4.4%、60代5.3%、70代2.4%、80代1.0%、90代2.4%であった。〇60代以上が全体の約1割を占めるほか、10歳未満の増加が見られる等、年齢幅が広がっている。〇感染経路は接待を伴う飲食店等だけでなく、施設内感染、同居、職場、会食、劇場等、多岐に渡っている。高齢者への家族内感染も見られる。〇地域別に見ると、新宿区、中野区、世田谷区、港区、豊島区ほか、隣接する板橋区、杉並区、練馬区、渋谷区にも広がっている。60代以上の新規陽性者はほぼ都内全域で発生している。〇介護老人保健施設、デイケア施設、幼稚園、保育園等での感染が見られており、施設内における感染防止対策の徹底が必要である。
2,2020-07-15,2,〇#7119は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波(3月から緊急事態宣言解除まで)では、患者の急速な増加の前に#7119における発熱等の相談件数が増加した。〇2週連続して、#7119の7日間平均の増加比が、1を超えている。
2,2020-07-15,3,〇接触歴等不明者数は7日間平均で77名を超え先週の2倍となった。〇7月13日時点の新規陽性者における接触歴等不明者の増加比は約200%と加速しており、4週間継続すると接触歴等不明の新規陽性者が約16倍(約1200人/日)程度発生する。さらに4週継続すると接触歴等不明の新規陽性者数は、現在の約256倍になる。
