meeting_no,meeting_date,monitoring_index,line_number,monitoring_comment
1,2020-07-09,1,1,〇厚生労働省の「新たな患者推計を踏まえた医療提供体制の再構築」における、感染拡大防止のための社会への協力要請(自粛要請等)が必要であるとされている、患者数が人口十万人あたり2.5人/週(東京都で換算すると50人)を大きく超えている。
1,2020-07-09,1,2,〇年齢構成は、20代30代が7割を占めるが、先週に比べ40代50代における増加が見られている。
1,2020-07-09,1,3,その感染経路は接待を伴う飲食店等だけでなく、同居、職場、会食等、多岐に渡っている。
1,2020-07-09,1,4,今後は同居、会食等を介した高齢者層への感染拡大にも注意が必要。
1,2020-07-09,1,5,〇新規陽性者数の多い地域だけでなく、隣接の地域でも感染者が増加し始めている。
1,2020-07-09,1,6,〇介護老人保健施設で施設内感染が発生している。
1,2020-07-09,1,7,高齢者施設での感染防止対策が必要。
1,2020-07-09,1,8,〇幼稚園、保育園で職員を発端とした施設内感染が発生している。
1,2020-07-09,2,1,〇第一波(3月から緊急事態宣言解除まで)では、患者の急速な増加の前に#7119の相談件数が増加した。
1,2020-07-09,2,2,〇今週は、#7119の7日間平均の増加比が、1を超えている。
1,2020-07-09,2,3,〇この増加は、流行の範囲の広がりの影響を受けている可能性がある。
1,2020-07-09,3,1,〇接触歴等不明者数は7日間平均で40名を超えている。
1,2020-07-09,3,2,〇接触歴等不明者の増加比は、横這いではあるものの、2週連続で依然として100%を大きく超えている。
1,2020-07-09,3,3,〇7月8日時点の新規陽性者における接触歴等不明者の増加比は161.9%であり、4週間継続すると接触歴等不明の新規陽性者が約6.8倍(270人/日)程度発生する。
1,2020-07-09,3,4,さらに4週継続すると接触歴等不明の新規陽性者数は、現在の約47倍になる。
1,2020-07-09,4,1,〇検査の陽性率は、2週連続で増加している。
1,2020-07-09,4,2,検査数も前週に比べて増加している。
1,2020-07-09,4,3,〇PCR検査の陽性率は、検査体制の指標としてモニタリングしている。
1,2020-07-09,4,4,陽性率の上昇は、検査数が減少したためではなく、検査スポット等における積極的疫学調査による新規陽性者数の増加、および接触歴等不明の患者の増加の影響を受けていると思われる。
1,2020-07-09,4,5,〇陽性率の増加を踏まえると、検査体制の強化が求められる。
1,2020-07-09,5,1,〇東京ルールの適用件数は2週連続で大きな変動は無い。
1,2020-07-09,5,2,〇第一波(3月から緊急事態宣言解除まで)では、患者の急速な増加に伴い、東京ルールの適用件数が増加したため、今後の推移を注視すべきである。
1,2020-07-09,6,1,"〇入院患者数は、2週連続で増加しており、今後患者数が増加する見込みであることを踏まえて、レベル2(3,000床)の病床確保が必要である。"
1,2020-07-09,6,2,稼働できる病床の準備には、人員確保を含め2週間程度かかることから、直ちに着手が必要である。
1,2020-07-09,6,3,〇現状では、無症状の陽性者が15%程度を占めている。
1,2020-07-09,6,4,これらの陽性者に対応するために、継続的な宿泊療養施設の確保が必要である。
1,2020-07-09,7,1,〇重症者の数は横ばいで推移しているが、80代の中等症患者等、重症化リスクの高い年齢層の患者の入院が増え始めている。
1,2020-07-09,7,2,〇特に重症患者の増加は、新型コロナウイルス感染症患者のための医療だけでなく、通常の医療体制を圧迫することとなる。
1,2020-07-09,7,3,〇以上を踏まえて、重症患者への対応の強化を準備する必要がある。
2,2020-07-15,1,1,〇新規陽性者数は先週の約1.5倍に増加し、緊急事態宣言下での最大値に達している。
2,2020-07-15,1,2,厚生労働省の「新たな患者推計を踏まえた医療提供体制の再構築」における、感染拡大防止のための社会への協力要請(自粛要請等)が必要であるとされている、患者数が人口十万人あたり2.5人/週(東京都で換算すると50人)の3倍を超えている。
