meeting_no,meeting_date,monitoring_index,line_number,token,part_of_speech,part_of_speech2,part_of_speech3,part_of_speech4,infl_type,base_form
1,2020-07-09,1,1,厚生,名詞,一般,,,,厚生
1,2020-07-09,1,1,労働省,名詞,固有名詞,組織,,,労働省
1,2020-07-09,1,1,新た,名詞,形容動詞語幹,,,,新た
1,2020-07-09,1,1,患者,名詞,一般,,,,患者
1,2020-07-09,1,1,推計,名詞,サ変接続,,,,推計
1,2020-07-09,1,1,医療,名詞,一般,,,,医療
1,2020-07-09,1,1,提供,名詞,サ変接続,,,,提供
1,2020-07-09,1,1,体制,名詞,一般,,,,体制
1,2020-07-09,1,1,構築,名詞,サ変接続,,,,構築
1,2020-07-09,1,1,感染,名詞,サ変接続,,,,感染
1,2020-07-09,1,1,拡大,名詞,サ変接続,,,,拡大
1,2020-07-09,1,1,防止,名詞,サ変接続,,,,防止
1,2020-07-09,1,1,社会,名詞,一般,,,,社会
1,2020-07-09,1,1,協力,名詞,サ変接続,,,,協力
1,2020-07-09,1,1,要請,名詞,サ変接続,,,,要請
1,2020-07-09,1,1,自粛,名詞,サ変接続,,,,自粛
1,2020-07-09,1,1,要請,名詞,サ変接続,,,,要請
1,2020-07-09,1,1,必要,名詞,形容動詞語幹,,,,必要
1,2020-07-09,1,1,患者,名詞,一般,,,,患者
1,2020-07-09,1,1,人口,名詞,一般,,,,人口
1,2020-07-09,1,1,東京,名詞,固有名詞,地域,一般,,東京
1,2020-07-09,1,1,換算,名詞,サ変接続,,,,換算
1,2020-07-09,1,2,年齢,名詞,一般,,,,年齢
1,2020-07-09,1,2,構成,名詞,サ変接続,,,,構成
1,2020-07-09,1,2,先週,名詞,副詞可能,,,,先週
1,2020-07-09,1,2,増加,名詞,サ変接続,,,,増加
1,2020-07-09,1,3,感染,名詞,サ変接続,,,,感染
1,2020-07-09,1,3,経路,名詞,一般,,,,経路
1,2020-07-09,1,3,接待,名詞,サ変接続,,,,接待
1,2020-07-09,1,3,飲食,名詞,サ変接続,,,,飲食
1,2020-07-09,1,3,同居,名詞,サ変接続,,,,同居
1,2020-07-09,1,3,職場,名詞,一般,,,,職場
1,2020-07-09,1,3,会食,名詞,サ変接続,,,,会食
1,2020-07-09,1,3,多岐,名詞,一般,,,,多岐
1,2020-07-09,1,4,今後,名詞,副詞可能,,,,今後
1,2020-07-09,1,4,同居,名詞,サ変接続,,,,同居
1,2020-07-09,1,4,会食,名詞,サ変接続,,,,会食
1,2020-07-09,1,4,高齢,名詞,一般,,,,高齢
1,2020-07-09,1,4,感染,名詞,サ変接続,,,,感染
1,2020-07-09,1,4,拡大,名詞,サ変接続,,,,拡大
1,2020-07-09,1,4,注意,名詞,サ変接続,,,,注意
1,2020-07-09,1,4,必要,名詞,形容動詞語幹,,,,必要
1,2020-07-09,1,5,新規,名詞,一般,,,,新規
1,2020-07-09,1,5,陽性,名詞,一般,,,,陽性
1,2020-07-09,1,5,地域,名詞,一般,,,,地域
1,2020-07-09,1,5,隣接,名詞,サ変接続,,,,隣接
1,2020-07-09,1,5,地域,名詞,一般,,,,地域
1,2020-07-09,1,5,感染,名詞,サ変接続,,,,感染
1,2020-07-09,1,5,増加,名詞,サ変接続,,,,増加
1,2020-07-09,1,6,介護,名詞,サ変接続,,,,介護
1,2020-07-09,1,6,老人,名詞,一般,,,,老人
1,2020-07-09,1,6,保健,名詞,一般,,,,保健
1,2020-07-09,1,6,施設,名詞,サ変接続,,,,施設
1,2020-07-09,1,6,施設,名詞,サ変接続,,,,施設
1,2020-07-09,1,6,感染,名詞,サ変接続,,,,感染
1,2020-07-09,1,6,発生,名詞,サ変接続,,,,発生
1,2020-07-09,1,7,高齢,名詞,一般,,,,高齢
1,2020-07-09,1,7,施設,名詞,サ変接続,,,,施設
1,2020-07-09,1,7,感染,名詞,サ変接続,,,,感染
1,2020-07-09,1,7,防止,名詞,サ変接続,,,,防止
1,2020-07-09,1,7,対策,名詞,サ変接続,,,,対策
1,2020-07-09,1,7,必要,名詞,形容動詞語幹,,,,必要
1,2020-07-09,1,8,幼稚園,名詞,一般,,,,幼稚園
1,2020-07-09,1,8,保育園,名詞,一般,,,,保育園
1,2020-07-09,1,8,職員,名詞,一般,,,,職員
1,2020-07-09,1,8,発端,名詞,一般,,,,発端
1,2020-07-09,1,8,施設,名詞,サ変接続,,,,施設
1,2020-07-09,1,8,感染,名詞,サ変接続,,,,感染
1,2020-07-09,1,8,発生,名詞,サ変接続,,,,発生
1,2020-07-09,2,1,一波,名詞,一般,,,,一波
1,2020-07-09,2,1,月,名詞,一般,,,,月
1,2020-07-09,2,1,緊急,名詞,形容動詞語幹,,,,緊急
1,2020-07-09,2,1,事態,名詞,一般,,,,事態
1,2020-07-09,2,1,宣言,名詞,サ変接続,,,,宣言
1,2020-07-09,2,1,解除,名詞,サ変接続,,,,解除
1,2020-07-09,2,1,患者,名詞,一般,,,,患者
1,2020-07-09,2,1,急速,名詞,形容動詞語幹,,,,急速
1,2020-07-09,2,1,増加,名詞,サ変接続,,,,増加
1,2020-07-09,2,1,前,名詞,副詞可能,,,,前
1,2020-07-09,2,1,相談,名詞,サ変接続,,,,相談
1,2020-07-09,2,1,件数,名詞,一般,,,,件数
1,2020-07-09,2,1,増加,名詞,サ変接続,,,,増加
1,2020-07-09,2,2,今週,名詞,副詞可能,,,,今週
1,2020-07-09,2,2,平均,名詞,サ変接続,,,,平均
1,2020-07-09,2,2,増加,名詞,サ変接続,,,,増加
1,2020-07-09,2,3,増加,名詞,サ変接続,,,,増加
1,2020-07-09,2,3,流行,名詞,サ変接続,,,,流行
1,2020-07-09,2,3,範囲,名詞,一般,,,,範囲
1,2020-07-09,2,3,広がり,名詞,一般,,,,広がり
1,2020-07-09,2,3,影響,名詞,サ変接続,,,,影響
1,2020-07-09,2,3,可能,名詞,形容動詞語幹,,,,可能
1,2020-07-09,3,1,接触,名詞,サ変接続,,,,接触
1,2020-07-09,3,1,不明,名詞,形容動詞語幹,,,,不明
1,2020-07-09,3,1,平均,名詞,サ変接続,,,,平均
1,2020-07-09,3,2,接触,名詞,サ変接続,,,,接触
1,2020-07-09,3,2,不明,名詞,形容動詞語幹,,,,不明
1,2020-07-09,3,2,増加,名詞,サ変接続,,,,増加
1,2020-07-09,3,2,横這い,名詞,一般,,,,横這い
1,2020-07-09,3,2,連続,名詞,サ変接続,,,,連続
1,2020-07-09,3,3,月,名詞,一般,,,,月
1,2020-07-09,3,3,時点,名詞,一般,,,,時点
1,2020-07-09,3,3,新規,名詞,一般,,,,新規
1,2020-07-09,3,3,陽性,名詞,一般,,,,陽性
1,2020-07-09,3,3,接触,名詞,サ変接続,,,,接触
1,2020-07-09,3,3,不明,名詞,形容動詞語幹,,,,不明
1,2020-07-09,3,3,増加,名詞,サ変接続,,,,増加
1,2020-07-09,3,3,継続,名詞,サ変接続,,,,継続
1,2020-07-09,3,3,接触,名詞,サ変接続,,,,接触
1,2020-07-09,3,3,不明,名詞,形容動詞語幹,,,,不明
1,2020-07-09,3,3,新規,名詞,一般,,,,新規
1,2020-07-09,3,3,陽性,名詞,一般,,,,陽性
1,2020-07-09,3,3,発生,名詞,サ変接続,,,,発生
1,2020-07-09,3,4,継続,名詞,サ変接続,,,,継続
1,2020-07-09,3,4,接触,名詞,サ変接続,,,,接触
1,2020-07-09,3,4,不明,名詞,形容動詞語幹,,,,不明
1,2020-07-09,3,4,新規,名詞,一般,,,,新規
1,2020-07-09,3,4,陽性,名詞,一般,,,,陽性
1,2020-07-09,3,4,現在,名詞,副詞可能,,,,現在
